26/02/2018 10:22:18:428 [04588] | INFO  | Initializing crosire's ReShade version '1.1.0.962' built on '2015-11-07 11:55:53' loaded from "D:\S.T.A.L.K.E.R - Call Of Pripyat\bin\d3d9.dll" to "D:\S.T.A.L.K.E.R - Call Of Pripyat\bin\xrEngine.exe" ...
26/02/2018 10:22:18:461 [04588] | INFO  | Registering hooks for "C:\Windows\system32\d3d8.dll" ...
26/02/2018 10:22:18:462 [04588] | INFO  | > Delayed.
26/02/2018 10:22:18:462 [04588] | INFO  | Registering hooks for "C:\Windows\system32\d3d9.dll" ...
26/02/2018 10:22:18:462 [04588] | INFO  | > Delayed.
26/02/2018 10:22:18:462 [04588] | INFO  | Registering hooks for "C:\Windows\system32\d3d10.dll" ...
26/02/2018 10:22:18:462 [04588] | INFO  | > Libraries loaded.
26/02/2018 10:22:18:462 [04588] | INFO  | > Found 2 match(es). Installing ...
26/02/2018 10:22:18:480 [04588] | INFO  | > Installed 2 hook(s).
26/02/2018 10:22:18:480 [04588] | INFO  | Registering hooks for "C:\Windows\system32\d3d10_1.dll" ...
26/02/2018 10:22:18:480 [04588] | INFO  | > Libraries loaded.
26/02/2018 10:22:18:480 [04588] | INFO  | > Found 2 match(es). Installing ...
26/02/2018 10:22:18:497 [04588] | INFO  | > Installed 2 hook(s).
26/02/2018 10:22:18:497 [04588] | INFO  | Registering hooks for "C:\Windows\system32\d3d11.dll" ...
26/02/2018 10:22:18:497 [04588] | INFO  | > Libraries loaded.
26/02/2018 10:22:18:498 [04588] | INFO  | > Found 2 match(es). Installing ...
26/02/2018 10:22:18:515 [04588] | INFO  | > Installed 2 hook(s).
26/02/2018 10:22:18:515 [04588] | INFO  | Registering hooks for "C:\Windows\system32\d3d12.dll" ...
26/02/2018 10:22:18:515 [04588] | INFO  | > Delayed.
26/02/2018 10:22:18:515 [04588] | INFO  | Registering hooks for "C:\Windows\system32\dxgi.dll" ...
26/02/2018 10:22:18:515 [04588] | INFO  | > Libraries loaded.
26/02/2018 10:22:18:516 [04588] | INFO  | > Found 6 match(es). Installing ...
26/02/2018 10:22:18:564 [04588] | INFO  | > Installed 6 hook(s).
26/02/2018 10:22:18:564 [04588] | INFO  | Registering hooks for "C:\Windows\system32\opengl32.dll" ...
26/02/2018 10:22:18:565 [04588] | INFO  | > Delayed.
26/02/2018 10:22:18:565 [04588] | INFO  | Registering hooks for "C:\Windows\system32\user32.dll" ...
26/02/2018 10:22:18:565 [04588] | INFO  | > Libraries loaded.
26/02/2018 10:22:18:577 [04588] | INFO  | > Found 5 match(es). Installing ...
26/02/2018 10:22:18:619 [04588] | INFO  | > Installed 5 hook(s).
26/02/2018 10:22:18:619 [04588] | INFO  | Registering hooks for "C:\Windows\system32\ws2_32.dll" ...
26/02/2018 10:22:18:619 [04588] | INFO  | > Libraries loaded.
26/02/2018 10:22:18:622 [04588] | INFO  | > Found 8 match(es). Installing ...
26/02/2018 10:22:18:688 [04588] | INFO  | > Installed 8 hook(s).
26/02/2018 10:22:18:688 [04588] | INFO  | Initialized.
26/02/2018 10:22:18:688 [04588] | INFO  | Redirecting 'Direct3DCreate9(32)' ...
26/02/2018 10:22:18:689 [04588] | INFO  | Installing delayed hooks for "C:\Windows\system32\d3d9.dll" ...
26/02/2018 10:22:18:689 [04588] | INFO  | > Found 9 match(es). Installing ...
26/02/2018 10:22:18:689 [04588] | INFO  | > Installed 9 hook(s).
26/02/2018 10:22:18:731 [04588] | INFO  | Redirecting 'IDirect3D9::CreateDevice(0AA707E0, 0, 1, 000B02B4, 0x54, 03A5BD64, 03A5BCF8)' ...
26/02/2018 10:22:19:219 [04588] | INFO  | Recreated runtime environment on runtime 035DF5F8.
26/02/2018 10:22:21:867 [04588] | INFO  | Loading effect from "D:\S.T.A.L.K.E.R - Call Of Pripyat\bin\ReShade.fx" ...
26/02/2018 10:22:24:836 [04588] | INFO  | > Successfully compiled effect.
26/02/2018 10:22:24:928 [04588] | INFO  | > Resizing image data for texture 'texNoise' from 1920x1080 to 1280x720 ...
26/02/2018 10:22:25:155 [04588] | INFO  | > Resizing image data for texture 'texSprite' from 1920x1080 to 1280x720 ...
26/02/2018 10:22:25:389 [04588] | INFO  | > Resizing image data for texture 'texDirt' from 1920x1080 to 1280x720 ...
26/02/2018 10:22:25:553 [04588] | INFO  | > Resizing image data for texture 'texMask' from 1920x1080 to 1280x720 ...
26/02/2018 10:42:19:047 [04588] | INFO  | Redirecting 'RegisterRawInputDevices(69121AFC, 1, 12)' ...
26/02/2018 10:42:19:047 [04588] | INFO  | Redirecting 'RegisterRawInputDevices(69121B08, 1, 12)' ...
26/02/2018 10:42:19:684 [04588] | INFO  | Destroyed runtime environment on runtime 035DF5F8.
26/02/2018 10:42:19:684 [04588] | WARN  | Reference count for 'IDirect3DDevice9' object 03568798 is inconsistent: 4, but expected 0.
26/02/2018 10:42:19:879 [04588] | INFO  | Exiting ...
26/02/2018 10:42:19:879 [04588] | INFO  | Uninstalling 39 hook(s) ...
26/02/2018 10:42:20:075 [04588] | INFO  | Exited.
